scheduler_type,elapsed_time_sec,job_a_state,job_b_state,allocated_gpus,productive_gpus,deadlocked_gpus,wasted_cost_usd,successful_jobs
standard,0,running_rendezvous,running_rendezvous,32,0,32,0.03262222222222222,0
standard,1,running_rendezvous,running_rendezvous,32,0,32,0.06524444444444444,0
standard,2,running_rendezvous,running_rendezvous,32,0,32,0.09786666666666666,0
standard,3,running_rendezvous,running_rendezvous,32,0,32,0.13048888888888888,0
standard,4,running_rendezvous,running_rendezvous,32,0,32,0.1631111111111111,0
standard,5,running_rendezvous,running_rendezvous,32,0,32,0.19573333333333331,0
standard,6,running_rendezvous,running_rendezvous,32,0,32,0.22835555555555553,0
standard,7,running_rendezvous,running_rendezvous,32,0,32,0.26097777777777775,0
standard,8,running_rendezvous,running_rendezvous,32,0,32,0.29359999999999997,0
standard,9,running_rendezvous,running_rendezvous,32,0,32,0.3262222222222222,0
standard,10,running_rendezvous,running_rendezvous,32,0,32,0.3588444444444444,0
standard,11,running_rendezvous,running_rendezvous,32,0,32,0.39146666666666663,0
standard,12,running_rendezvous,running_rendezvous,32,0,32,0.42408888888888885,0
standard,13,running_rendezvous,running_rendezvous,32,0,32,0.45671111111111107,0
standard,14,running_rendezvous,running_rendezvous,32,0,32,0.4893333333333333,0
standard,15,running_rendezvous,running_rendezvous,32,0,32,0.5219555555555555,0
standard,16,running_rendezvous,running_rendezvous,32,0,32,0.5545777777777777,0
standard,17,running_rendezvous,running_rendezvous,32,0,32,0.5871999999999999,0
standard,18,running_rendezvous,running_rendezvous,32,0,32,0.6198222222222222,0
standard,19,running_rendezvous,running_rendezvous,32,0,32,0.6524444444444444,0
standard,20,running_rendezvous,running_rendezvous,32,0,32,0.6850666666666666,0
standard,21,running_rendezvous,running_rendezvous,32,0,32,0.7176888888888888,0
standard,22,running_rendezvous,running_rendezvous,32,0,32,0.750311111111111,0
standard,23,running_rendezvous,running_rendezvous,32,0,32,0.7829333333333333,0
standard,24,running_rendezvous,running_rendezvous,32,0,32,0.8155555555555555,0
standard,25,running_rendezvous,running_rendezvous,32,0,32,0.8481777777777777,0
standard,26,running_rendezvous,running_rendezvous,32,0,32,0.8807999999999999,0
standard,27,running_rendezvous,running_rendezvous,32,0,32,0.9134222222222221,0
standard,28,running_rendezvous,running_rendezvous,32,0,32,0.9460444444444444,0
standard,29,running_rendezvous,running_rendezvous,32,0,32,0.9786666666666666,0
standard,30,running_rendezvous,running_rendezvous,32,0,32,1.0112888888888887,0
standard,31,running_rendezvous,running_rendezvous,32,0,32,1.043911111111111,0
standard,32,running_rendezvous,running_rendezvous,32,0,32,1.0765333333333333,0
standard,33,running_rendezvous,running_rendezvous,32,0,32,1.1091555555555555,0
standard,34,running_rendezvous,running_rendezvous,32,0,32,1.1417777777777776,0
standard,35,running_rendezvous,running_rendezvous,32,0,32,1.1743999999999999,0
standard,36,running_rendezvous,running_rendezvous,32,0,32,1.2070222222222222,0
standard,37,running_rendezvous,running_rendezvous,32,0,32,1.2396444444444443,0
standard,38,running_rendezvous,running_rendezvous,32,0,32,1.2722666666666664,0
standard,39,running_rendezvous,running_rendezvous,32,0,32,1.3048888888888888,0
standard,40,running_rendezvous,running_rendezvous,32,0,32,1.337511111111111,0
standard,41,running_rendezvous,running_rendezvous,32,0,32,1.3701333333333332,0
standard,42,running_rendezvous,running_rendezvous,32,0,32,1.4027555555555553,0
standard,43,running_rendezvous,running_rendezvous,32,0,32,1.4353777777777776,0
standard,44,running_rendezvous,running_rendezvous,32,0,32,1.468,0
standard,45,running_rendezvous,running_rendezvous,32,0,32,1.500622222222222,0
standard,46,running_rendezvous,running_rendezvous,32,0,32,1.5332444444444442,0
standard,47,running_rendezvous,running_rendezvous,32,0,32,1.5658666666666665,0
standard,48,running_rendezvous,running_rendezvous,32,0,32,1.5984888888888888,0
standard,49,running_rendezvous,running_rendezvous,32,0,32,1.631111111111111,0
standard,50,running_rendezvous,running_rendezvous,32,0,32,1.663733333333333,0
standard,51,running_rendezvous,running_rendezvous,32,0,32,1.6963555555555554,0
standard,52,running_rendezvous,running_rendezvous,32,0,32,1.7289777777777777,0
standard,53,running_rendezvous,running_rendezvous,32,0,32,1.7615999999999998,0
standard,54,running_rendezvous,running_rendezvous,32,0,32,1.794222222222222,0
standard,55,running_rendezvous,running_rendezvous,32,0,32,1.8268444444444443,0
standard,56,running_rendezvous,running_rendezvous,32,0,32,1.8594666666666666,0
standard,57,running_rendezvous,running_rendezvous,32,0,32,1.8920888888888887,0
standard,58,running_rendezvous,running_rendezvous,32,0,32,1.9247111111111108,0
